country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Trinidad and Tobago,0.38,0.55,0.59,0.61,0.66,0.74,0.71,0.8,0.83,0.77,0.87,0.81,0.87,0.78,0.85,0.9,0.9,0.91,0.91,0.9,0.9,0.91,0.96,0.91,0.94,0.95,0.89,0.9,0.91,0.9,0.91,0.91,0.91,0.94,0.94,0.88,0.84,0.94,0.99,0.93
Tunisia,,,,0.62,0.66,0.7,0.72,0.84,0.91,0.93,0.93,0.93,0.95,0.94,0.93,0.94,0.95,0.96,0.96,0.99,0.97,0.98,0.96,0.95,0.97,0.98,0.99,0.98,0.99,0.99,0.98,0.98,0.95,0.95,0.94,0.93,0.93,0.92,0.9,0.92
Turkey,0.63,0.69,0.61,0.59,0.57,0.55,0.45,0.86,0.86,0.79,0.84,0.72,0.77,0.76,0.91,0.67,0.73,0.79,0.81,0.79,0.85,0.88,0.78,0.69,0.85,0.9,0.9,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.96,0.97,0.98,0.96,0.98,0.99
Turkmenistan,,,,,,,,,,,,,0.91,0.92,0.94,0.96,0.98,0.99,0.99,0.98,0.98,0.94,0.99,0.66,0.98,0.99,0.98,0.98,0.96,0.97,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99
Tuvalu,0.23,0.44,0.79,0.83,0.74,0.97,0.73,0.59,0.91,0.66,0.84,0.71,0.86,0.86,0.95,0.85,0.92,0.8,0.78,0.84,0.82,0.96,0.98,0.93,0.98,0.99,0.97,0.97,0.99,0.85,0.89,0.96,0.97,0.9,0.89,0.96,0.94,0.96,0.89,0.92
Uganda,,0.08,0.09,0.11,0.12,0.13,0.21,0.3,0.38,0.42,0.45,0.49,0.52,0.56,0.59,0.58,0.57,0.55,0.5,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.62,0.7,0.69,0.78,0.79,0.79,0.79,0.78,0.78,0.85,0.88,0.9,0.88,0.92
Ukraine,,,,,,,,,,,,,0.89,0.91,0.96,0.97,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.98,0.91,0.74,0.57,0.54,0.72,0.72,0.45,0.51,0.56,0.48,0.71,0.78
United Arab Emirates,0.11,0.45,0.46,0.5,0.59,0.74,0.77,0.8,0.82,0.85,0.85,0.85,0.86,0.9,0.9,0.9,0.9,0.92,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.98,0.99,0.99,0.99,0.96,0.99,0.95
United Kingdom,0.81,0.82,0.84,0.84,0.84,0.95,0.85,0.87,0.87,0.89,0.92,0.93,0.95,0.95,0.95,0.96,0.96,0.92,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.91,0.92,0.92,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93
United States,0.95,0.96,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.91,0.85,0.78,0.72,0.79,0.84,0.88,0.91,0.91,0.91,0.9,0.9,0.89,0.9,0.91,0.92,0.92,0.93,0.93,0.94,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.94,0.93,0.93
Uruguay,0.59,0.6,0.72,0.77,0.8,0.58,0.64,0.85,0.82,0.88,0.97,0.96,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.93,0.92,0.94,0.93,0.91,0.95,0.96,0.95,0.94,0.94,0.95,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.93,0.91,0.93
Uzbekistan,,,,,,,,,,,,,0.85,0.46,0.79,0.99,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98
Vanuatu,,,0.17,0.18,0.27,0.27,0.31,0.53,0.58,0.7,0.78,0.82,0.78,0.87,0.74,0.74,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.69,0.7,0.72,0.74,0.75,0.77,0.78,0.8,0.8,0.81,0.83,0.85,0.9
Venezuela,0.95,0.75,0.76,0.77,0.59,0.59,0.64,0.61,0.74,0.67,0.72,0.74,0.73,0.72,0.73,0.85,0.73,0.76,0.62,0.86,0.86,0.87,0.81,0.86,0.83,0.8,0.73,0.67,0.76,0.75,0.74,0.78,0.73,0.82,0.79,0.87,0.82,0.79,0.53,0.62
Vietnam,,,,0.02,0.05,0.62,0.45,0.45,0.54,0.7,0.88,0.88,0.89,0.91,0.94,0.94,0.94,0.95,0.94,0.93,0.96,0.96,0.92,0.96,0.96,0.94,0.94,0.92,0.93,0.97,0.94,0.96,0.97,0.93,0.96,0.97,0.95,0.94,0.9,0.89
Yemen,0.01,0.03,0.04,0.05,0.07,0.12,0.13,0.18,0.36,0.56,0.84,0.47,0.5,0.54,0.33,0.44,0.47,0.4,0.68,0.71,0.74,0.73,0.64,0.61,0.72,0.8,0.78,0.79,0.78,0.76,0.77,0.69,0.68,0.67,0.67,0.63,0.65,0.62,0.59,0.67
Zambia,,,,0.46,0.5,0.61,0.74,0.81,0.81,0.81,0.9,0.8,0.83,0.87,0.9,0.84,0.83,0.82,0.83,0.84,0.85,0.86,0.85,0.85,0.84,0.84,0.83,0.77,0.9,0.93,0.8,0.83,0.7,0.74,0.78,0.9,0.87,0.92,0.9,0.89
Zimbabwe,,0.38,0.46,0.53,0.61,0.63,0.82,0.86,0.87,0.88,0.89,0.88,0.86,0.85,0.87,0.88,0.9,0.86,0.84,0.81,0.78,0.76,0.73,0.7,0.67,0.69,0.71,0.73,0.75,0.69,0.89,0.93,0.95,0.95,0.92,0.88,0.9,0.89,0.89,0.9
